"","Accession.ID","Area","Genotype"
"104","EPI_ISL_407893","Australia","G1"
"106","EPI_ISL_407894","Australia","G1"
"109","EPI_ISL_407896","Australia","G1"
"210","EPI_ISL_410717","Australia","G1"
"214","EPI_ISL_410718","Australia","G1"
"114","EPI_ISL_407976","Belgium","G1"
"130","EPI_ISL_408478","Chongqing","G1"
"83","EPI_ISL_407071","England","G1"
"87","EPI_ISL_407073","England","G1"
"221","EPI_ISL_411060","Fujian","G1"
"17","EPI_ISL_403932","Guangdong","G1"
"20","EPI_ISL_403933","Guangdong","G1"
"24","EPI_ISL_403935","Guangdong","G1"
"33","EPI_ISL_405839","Guangdong","G1"
"38","EPI_ISL_406030","Guangdong","G1"
"64","EPI_ISL_406593","Guangdong","G1"
"248","EPI_ISL_412028","Hong Kong","G1"
"75","EPI_ISL_406801","Hubei","G1"
"152","EPI_ISL_408665","Japan","G1"
"157","EPI_ISL_408666","Japan","G1"
"161","EPI_ISL_408667","Japan","G1"
"94","EPI_ISL_407193","Korea","G1"
"139","EPI_ISL_408484","Sichuan","G1"
"192","EPI_ISL_410535","Singapore","G1"
"146","EPI_ISL_408489","Taiwan","G1"
"233","EPI_ISL_411926","Taiwan","G1"
"30","EPI_ISL_404895","USA","G1"
"44","EPI_ISL_406034","USA","G1"
"53","EPI_ISL_406223","USA","G1"
"98","EPI_ISL_407214","USA","G1"
"101","EPI_ISL_407215","USA","G1"
"182","EPI_ISL_410045","USA","G1"
"237","EPI_ISL_411954","USA","G1"
"241","EPI_ISL_411956","USA","G1"
"165","EPI_ISL_408668","Vietnam","G1"
"135","EPI_ISL_408480","Yunnan","G1"
